"","V1","V2"
"1","34.8125","-118.8125"
"2","34.8125","-118.9375"
"3","34.8125","-119.0625"
"4","34.8125","-119.1875"
"5","34.8125","-119.3125"
"6","34.9375","-118.5625"
"7","34.9375","-118.6875"
"8","34.9375","-118.8125"
"9","34.9375","-118.9375"
"10","34.9375","-119.0625"
"11","34.9375","-119.1875"
"12","34.9375","-119.3125"
"13","34.9375","-119.4375"
"14","35.0625","-118.4375"
"15","35.0625","-118.5625"
"16","35.0625","-118.6875"
"17","35.0625","-118.8125"
"18","35.0625","-118.9375"
"19","35.0625","-119.0625"
"20","35.0625","-119.1875"
"21","35.0625","-119.3125"
"22","35.0625","-119.4375"
"23","35.0625","-119.5625"
"24","35.1875","-118.1875"
"25","35.1875","-118.3125"
"26","35.1875","-118.4375"
"27","35.1875","-118.5625"
"28","35.1875","-118.6875"
"29","35.1875","-118.8125"
"30","35.1875","-118.9375"
"31","35.1875","-119.0625"
"32","35.1875","-119.1875"
"33","35.1875","-119.3125"
"34","35.1875","-119.4375"
"35","35.1875","-119.5625"
"36","35.1875","-119.6875"
"37","35.3125","-118.3125"
"38","35.3125","-118.4375"
"39","35.3125","-118.5625"
"40","35.3125","-118.6875"
"41","35.3125","-118.8125"
"42","35.3125","-118.9375"
"43","35.3125","-119.0625"
"44","35.3125","-119.1875"
"45","35.3125","-119.3125"
"46","35.3125","-119.4375"
"47","35.3125","-119.5625"
"48","35.3125","-119.6875"
"49","35.3125","-119.8125"
"50","35.4375","-118.1875"
"51","35.4375","-118.3125"
"52","35.4375","-118.4375"
"53","35.4375","-118.5625"
"54","35.4375","-118.6875"
"55","35.4375","-118.8125"
"56","35.4375","-118.9375"
"57","35.4375","-119.0625"
"58","35.4375","-119.1875"
"59","35.4375","-119.3125"
"60","35.4375","-119.4375"
"61","35.4375","-119.5625"
"62","35.4375","-119.6875"
"63","35.4375","-119.8125"
"64","35.4375","-119.9375"
"65","35.4375","-120.0625"
"66","35.5625","-118.0625"
"67","35.5625","-118.1875"
"68","35.5625","-118.3125"
"69","35.5625","-118.4375"
"70","35.5625","-118.5625"
"71","35.5625","-118.6875"
"72","35.5625","-118.8125"
"73","35.5625","-118.9375"
"74","35.5625","-119.0625"
"75","35.5625","-119.1875"
"76","35.5625","-119.3125"
"77","35.5625","-119.4375"
"78","35.5625","-119.5625"
"79","35.5625","-119.6875"
"80","35.5625","-119.8125"
"81","35.5625","-119.9375"
"82","35.5625","-120.0625"
"83","35.5625","-120.1875"
"84","35.6875","-117.9375"
"85","35.6875","-118.0625"
"86","35.6875","-118.1875"
"87","35.6875","-118.3125"
"88","35.6875","-118.4375"
"89","35.6875","-118.5625"
"90","35.6875","-118.6875"
"91","35.6875","-118.8125"
"92","35.6875","-118.9375"
"93","35.6875","-119.0625"
"94","35.6875","-119.1875"
"95","35.6875","-119.3125"
"96","35.6875","-119.4375"
"97","35.6875","-119.5625"
"98","35.6875","-119.6875"
"99","35.6875","-119.8125"
"100","35.6875","-119.9375"
"101","35.6875","-120.0625"
"102","35.6875","-120.1875"
"103","35.8125","-117.9375"
"104","35.8125","-118.0625"
"105","35.8125","-118.1875"
"106","35.8125","-118.3125"
"107","35.8125","-118.4375"
"108","35.8125","-118.5625"
"109","35.8125","-118.6875"
"110","35.8125","-118.8125"
"111","35.8125","-118.9375"
"112","35.8125","-119.0625"
"113","35.8125","-119.1875"
"114","35.8125","-119.3125"
"115","35.8125","-119.4375"
"116","35.8125","-119.5625"
"117","35.8125","-119.6875"
"118","35.8125","-119.8125"
"119","35.8125","-119.9375"
"120","35.8125","-120.0625"
"121","35.8125","-120.1875"
