"Year","Flow","Dataset"
1950,13381186,"HistoricalSimulation1950-2003"
1951,21512456,"HistoricalSimulation1950-2003"
1952,23441594,"HistoricalSimulation1950-2003"
1953,18900968,"HistoricalSimulation1950-2003"
1954,16416000,"HistoricalSimulation1950-2003"
1955,11064330,"HistoricalSimulation1950-2003"
1956,26636912,"HistoricalSimulation1950-2003"
1957,13967606,"HistoricalSimulation1950-2003"
1958,28773276,"HistoricalSimulation1950-2003"
1959,12787854,"HistoricalSimulation1950-2003"
1960,11980470,"HistoricalSimulation1950-2003"
1961,11746802,"HistoricalSimulation1950-2003"
1962,14873244,"HistoricalSimulation1950-2003"
1963,22457176,"HistoricalSimulation1950-2003"
1964,11344472,"HistoricalSimulation1950-2003"
1965,22351326,"HistoricalSimulation1950-2003"
1966,12515724,"HistoricalSimulation1950-2003"
1967,21028348,"HistoricalSimulation1950-2003"
1968,13445120,"HistoricalSimulation1950-2003"
1969,23925034,"HistoricalSimulation1950-2003"
1970,25369994,"HistoricalSimulation1950-2003"
1971,17950884,"HistoricalSimulation1950-2003"
1972,11429000,"HistoricalSimulation1950-2003"
1973,18993664,"HistoricalSimulation1950-2003"
1974,27911112,"HistoricalSimulation1950-2003"
1975,15899986,"HistoricalSimulation1950-2003"
1976,9542824,"HistoricalSimulation1950-2003"
1977,6534936,"HistoricalSimulation1950-2003"
1978,18504374,"HistoricalSimulation1950-2003"
1979,14344644,"HistoricalSimulation1950-2003"
1980,20215842,"HistoricalSimulation1950-2003"
1981,12058890,"HistoricalSimulation1950-2003"
1982,30328992,"HistoricalSimulation1950-2003"
1983,36136704,"HistoricalSimulation1950-2003"
1984,22699746,"HistoricalSimulation1950-2003"
1985,11176216,"HistoricalSimulation1950-2003"
1986,22933750,"HistoricalSimulation1950-2003"
1987,10742718,"HistoricalSimulation1950-2003"
1988,9799590,"HistoricalSimulation1950-2003"
1989,12202676,"HistoricalSimulation1950-2003"
1990,10241522,"HistoricalSimulation1950-2003"
1991,10018752,"HistoricalSimulation1950-2003"
1992,9737704,"HistoricalSimulation1950-2003"
1993,18809184,"HistoricalSimulation1950-2003"
1994,11310484,"HistoricalSimulation1950-2003"
1995,31774870,"HistoricalSimulation1950-2003"
1996,24531126,"HistoricalSimulation1950-2003"
1997,26918648,"HistoricalSimulation1950-2003"
1998,30608362,"HistoricalSimulation1950-2003"
1999,20303814,"HistoricalSimulation1950-2003"
2000,17141866,"HistoricalSimulation1950-2003"
2001,10389324,"HistoricalSimulation1950-2003"
2002,12466122,"HistoricalSimulation1950-2003"
2003,18802820,"HistoricalSimulation1950-2003"
