Year,Rec SJ4 streamflow,Obs SJ4 Streamflow
900,4822100,
901,8860200,
902,4760300,
903,7363200,
904,7212000,
905,6631800,
906,7426600,
907,4642200,
908,4516400,
909,5183900,
910,8641200,
911,7909800,
912,6167200,
913,2899700,
914,9524900,
915,2973300,
916,8613200,
917,6435000,
918,3906000,
919,5721600,
920,7208500,
921,4013700,
922,5995600,
923,4726000,
924,3156300,
925,7445300,
926,7129200,
927,5791000,
928,3786100,
929,3745900,
930,3002300,
931,7053400,
932,3982200,
933,3253600,
934,7212700,
935,5826900,
936,3940200,
937,8067200,
938,3700700,
939,5036500,
940,6058000,
941,6171300,
942,3893300,
943,4805400,
944,5413900,
945,5703800,
946,5433500,
947,5187200,
948,3385300,
949,4376500,
950,5547500,
951,8271900,
952,3982600,
953,4983300,
954,1908100,
955,6708400,
956,8223000,
957,1592900,
958,5176100,
959,5950200,
960,7144400,
961,2934600,
962,3751500,
963,6754500,
964,4639700,
965,5382900,
966,5029800,
967,6037500,
968,9080100,
969,4202700,
970,10375000,
971,3935400,
972,6467100,
973,6335400,
974,8029100,
975,3656600,
976,5590800,
977,4488800,
978,3105500,
979,1987800,
980,3725900,
981,3215600,
982,5679000,
983,3313900,
984,5832000,
985,8314700,
986,2720700,
987,6425700,
988,7342200,
989,5995400,
990,4994000,
991,8621500,
992,6328900,
993,8246300,
994,5187600,
995,4188500,
996,5588900,
997,9570900,
998,8411000,
999,4991800,
1000,7513500,
1001,8180200,
1002,8485300,
1003,9087600,
1004,6363700,
1005,4571900,
1006,10629000,
1007,6222300,
1008,9506700,
1009,8642700,
1010,5359000,
1011,7805200,
1012,3013600,
1013,8027100,
1014,5318800,
1015,8213900,
1016,8029400,
1017,6299300,
1018,4466500,
1019,10203000,
1020,5881600,
1021,5438400,
1022,5654700,
1023,13203000,
1024,7832100,
1025,3170900,
1026,8962100,
1027,8204300,
1028,4563000,
1029,5530500,
1030,6004400,
1031,8926400,
1032,3909000,
1033,7317600,
1034,6834700,
1035,4549400,
1036,9819000,
1037,6312500,
1038,5113800,
1039,3407800,
1040,3210200,
1041,8251100,
1042,8416500,
1043,4029800,
1044,3733300,
1045,9349300,
1046,5048500,
1047,3866100,
1048,4913700,
1049,6133500,
1050,6139300,
1051,5123800,
1052,2632900,
1053,4466400,
1054,9144700,
1055,3573400,
1056,4928300,
1057,6829100,
1058,4769100,
1059,1901600,
1060,3004100,
1061,6322300,
1062,4766000,
1063,6103800,
1064,9413100,
1065,6225300,
1066,4317200,
1067,5759400,
1068,8074400,
1069,4169600,
1070,2215400,
1071,7639300,
1072,2157700,
1073,5358000,
1074,4358200,
1075,4361400,
1076,8061900,
1077,4418700,
1078,7585300,
1079,8460100,
1080,7289700,
1081,5282200,
1082,4003300,
1083,5922400,
1084,7701700,
1085,5386400,
1086,4920100,
1087,9576900,
1088,6220800,
1089,8071900,
1090,3379900,
1091,8796200,
1092,3528000,
1093,2450500,
1094,8874000,
1095,6478000,
1096,5128900,
1097,5643000,
1098,2419600,
1099,6952300,
1100,10113000,
1101,6660400,
1102,6047100,
1103,3577600,
1104,8367400,
1105,7500300,
1106,6057500,
1107,5791600,
1108,6175000,
1109,8010600,
1110,7047000,
1111,5660700,
1112,6850100,
1113,9962300,
1114,4745200,
1115,5184100,
1116,9840900,
1117,6198300,
1118,7474700,
1119,7389200,
1120,8156600,
1121,7180500,
1122,9789600,
1123,3494100,
1124,6957900,
1125,8506800,
1126,1283700,
1127,8056400,
1128,8657300,
1129,7646200,
1130,3911200,
1131,3465500,
1132,5157000,
1133,5785900,
1134,5246900,
1135,3513900,
1136,6798900,
1137,5465100,
1138,6774700,
1139,5294500,
1140,3132500,
1141,4314100,
1142,6114500,
1143,4320300,
1144,4196900,
1145,2842400,
1146,3733700,
1147,5432000,
1148,4109600,
1149,8460800,
1150,3074400,
