Year,Flow,Dataset
1950,4724715.234,HistoricalSimulation1950-2003
1951,8886945.133,HistoricalSimulation1950-2003
1952,9550221.221,HistoricalSimulation1950-2003
1953,4397670.698,HistoricalSimulation1950-2003
1954,4735139.478,HistoricalSimulation1950-2003
1955,3806133.79,HistoricalSimulation1950-2003
1956,10569748.86,HistoricalSimulation1950-2003
1957,4570935.951,HistoricalSimulation1950-2003
1958,8537687.64,HistoricalSimulation1950-2003
1959,2948606.055,HistoricalSimulation1950-2003
1960,3175149.681,HistoricalSimulation1950-2003
1961,2252244.525,HistoricalSimulation1950-2003
1962,5365002.336,HistoricalSimulation1950-2003
1963,6696109.842,HistoricalSimulation1950-2003
1964,3261813.43,HistoricalSimulation1950-2003
1965,7998904.101,HistoricalSimulation1950-2003
1966,3585473.776,HistoricalSimulation1950-2003
1967,8784715.206,HistoricalSimulation1950-2003
1968,2550501.747,HistoricalSimulation1950-2003
1969,11399183.68,HistoricalSimulation1950-2003
1970,5527427.702,HistoricalSimulation1950-2003
1971,4478661.489,HistoricalSimulation1950-2003
1972,2994251.068,HistoricalSimulation1950-2003
1973,5615915.15,HistoricalSimulation1950-2003
1974,6387316.345,HistoricalSimulation1950-2003
1975,5907305.168,HistoricalSimulation1950-2003
1976,2132847.445,HistoricalSimulation1950-2003
1977,1350660.308,HistoricalSimulation1950-2003
1978,9502023.888,HistoricalSimulation1950-2003
1979,6120757.672,HistoricalSimulation1950-2003
1980,9200905.126,HistoricalSimulation1950-2003
1981,3143636.886,HistoricalSimulation1950-2003
1982,11488820.86,HistoricalSimulation1950-2003
1983,14712083.64,HistoricalSimulation1950-2003
1984,7231211.154,HistoricalSimulation1950-2003
1985,3690266.388,HistoricalSimulation1950-2003
1986,9263190.973,HistoricalSimulation1950-2003
1987,1990215.698,HistoricalSimulation1950-2003
1988,2619079.651,HistoricalSimulation1950-2003
1989,3531549.687,HistoricalSimulation1950-2003
1990,3226866.654,HistoricalSimulation1950-2003
1991,3637901.014,HistoricalSimulation1950-2003
1992,3000965.77,HistoricalSimulation1950-2003
1993,8510018.973,HistoricalSimulation1950-2003
1994,2225157.128,HistoricalSimulation1950-2003
1995,12181677.66,HistoricalSimulation1950-2003
1996,7417544.311,HistoricalSimulation1950-2003
1997,9498857.104,HistoricalSimulation1950-2003
1998,10435804.62,HistoricalSimulation1950-2003
1999,5653002.118,HistoricalSimulation1950-2003
2000,5722959.489,HistoricalSimulation1950-2003
2001,3775656.604,HistoricalSimulation1950-2003
2002,4218295.983,HistoricalSimulation1950-2003
2003,5335980.751,HistoricalSimulation1950-2003
