"Year","Flow","Dataset","AnalogueYear","AnalogueFlow"
900,15865666,"Paleo",1975,15899986
901,25589572,"Paleo",1970,25369994
902,15990539,"Paleo",1975,15899986
903,22724860,"Paleo",1984,22699746
904,22780171,"Paleo",1984,22699746
905,22006284,"Paleo",1965,22351326
906,24259600,"Paleo",1996,24531126
907,16892715,"Paleo",2000,17141866
908,14164354,"Paleo",1979,14344644
909,15001037,"Paleo",1962,14873244
910,24869337,"Paleo",1996,24531126
911,24992116,"Paleo",1970,25369994
912,21422191,"Paleo",1951,21512456
913,10709378,"Paleo",1987,10742718
914,27843030,"Paleo",1974,27911112
915,11658068,"Paleo",1961,11746802
916,23445217,"Paleo",1952,23441594
917,19543639,"Paleo",1973,18993664
918,13155032,"Paleo",1950,13381186
919,16702701,"Paleo",1954,16416000
920,20928372,"Paleo",1967,21028348
921,13653925,"Paleo",1968,13445120
922,16616347,"Paleo",1954,16416000
923,14059253,"Paleo",1957,13967606
924,10874057,"Paleo",1987,10742718
925,20211330,"Paleo",1980,20215842
926,22019015,"Paleo",1965,22351326
927,20820645,"Paleo",1967,21028348
928,13799959,"Paleo",1957,13967606
929,12503717,"Paleo",1966,12515724
930,9938595,"Paleo",1991,10018752
931,18526738,"Paleo",1978,18504374
932,13097493,"Paleo",1950,13381186
933,10899048,"Paleo",1987,10742718
934,19834902,"Paleo",1980,20215842
935,18264216,"Paleo",1978,18504374
936,13836756,"Paleo",1957,13967606
937,21675253,"Paleo",1951,21512456
938,12452306,"Paleo",2002,12466122
939,15346976,"Paleo",1962,14873244
940,20879421,"Paleo",1967,21028348
941,21524927,"Paleo",1951,21512456
942,13853782,"Paleo",1957,13967606
943,14397075,"Paleo",1979,14344644
944,19245526,"Paleo",1973,18993664
945,14624453,"Paleo",1962,14873244
946,16498321,"Paleo",1954,16416000
947,13575363,"Paleo",1968,13445120
948,12765810,"Paleo",1959,12787854
949,13767243,"Paleo",1957,13967606
950,14389456,"Paleo",1979,14344644
951,25809614,"Paleo",1970,25369994
952,13507897,"Paleo",1968,13445120
953,17893583,"Paleo",1971,17950884
954,8877282,"Paleo",1976,9542824
955,19846540,"Paleo",1980,20215842
956,25810839,"Paleo",1970,25369994
957,7489204,"Paleo",1977,6534936
958,15349280,"Paleo",1962,14873244
959,18170603,"Paleo",1971,17950884
960,20539136,"Paleo",1999,20303814
961,10882043,"Paleo",1987,10742718
962,12350317,"Paleo",2002,12466122
963,23069675,"Paleo",1986,22933750
964,15044288,"Paleo",1962,14873244
965,21927664,"Paleo",1951,21512456
966,18581566,"Paleo",1978,18504374
967,21062037,"Paleo",1967,21028348
968,26561321,"Paleo",1956,26636912
969,14359355,"Paleo",1979,14344644
970,26517980,"Paleo",1956,26636912
971,13546420,"Paleo",1968,13445120
972,20915645,"Paleo",1967,21028348
973,19232447,"Paleo",1973,18993664
974,19975265,"Paleo",1980,20215842
975,14366127,"Paleo",1979,14344644
976,16431388,"Paleo",1954,16416000
977,14012710,"Paleo",1957,13967606
978,13568027,"Paleo",1968,13445120
979,8387811,"Paleo",1976,9542824
980,12995399,"Paleo",1959,12787854
981,11673350,"Paleo",1961,11746802
982,22793685,"Paleo",1984,22699746
983,11801639,"Paleo",1961,11746802
984,21505178,"Paleo",1951,21512456
985,25487168,"Paleo",1970,25369994
986,10573439,"Paleo",1987,10742718
987,18154905,"Paleo",1971,17950884
988,21197143,"Paleo",1967,21028348
989,18803514,"Paleo",2003,18802820
990,14258132,"Paleo",1979,14344644
991,24757706,"Paleo",1996,24531126
992,18071895,"Paleo",1971,17950884
993,25453124,"Paleo",1970,25369994
994,21102180,"Paleo",1967,21028348
995,13463671,"Paleo",1968,13445120
996,13266618,"Paleo",1950,13381186
997,25934189,"Paleo",1970,25369994
998,25492725,"Paleo",1970,25369994
999,16348415,"Paleo",1954,16416000
1000,25305877,"Paleo",1970,25369994
1001,25871307,"Paleo",1970,25369994
1002,25884239,"Paleo",1970,25369994
1003,24320770,"Paleo",1996,24531126
1004,24934366,"Paleo",1996,24531126
1005,17623419,"Paleo",1971,17950884
1006,26064640,"Paleo",1956,26636912
1007,23877482,"Paleo",1969,23925034
1008,26380921,"Paleo",1956,26636912
1009,25661143,"Paleo",1970,25369994
1010,18462599,"Paleo",1978,18504374
1011,25407703,"Paleo",1970,25369994
1012,11677730,"Paleo",1961,11746802
1013,24894151,"Paleo",1996,24531126
1014,17778197,"Paleo",1971,17950884
1015,25902720,"Paleo",1970,25369994
1016,25362331,"Paleo",1970,25369994
1017,23217595,"Paleo",1952,23441594
1018,17896491,"Paleo",1971,17950884
1019,28065470,"Paleo",1974,27911112
1020,21205410,"Paleo",1967,21028348
1021,17199150,"Paleo",2000,17141866
1022,15240149,"Paleo",1962,14873244
1023,28440709,"Paleo",1958,28773276
1024,25065828,"Paleo",1970,25369994
1025,11899463,"Paleo",1960,11980470
1026,26113741,"Paleo",1956,26636912
1027,24882164,"Paleo",1996,24531126
1028,13974840,"Paleo",1957,13967606
1029,18266854,"Paleo",1978,18504374
1030,17866179,"Paleo",1971,17950884
1031,24396179,"Paleo",1996,24531126
1032,14860058,"Paleo",1962,14873244
1033,16872169,"Paleo",2000,17141866
1034,24232311,"Paleo",1996,24531126
1035,13580906,"Paleo",1968,13445120
1036,26256114,"Paleo",1956,26636912
1037,19723261,"Paleo",1980,20215842
1038,16321396,"Paleo",1954,16416000
1039,14385344,"Paleo",1979,14344644
1040,12643386,"Paleo",1966,12515724
1041,25086918,"Paleo",1970,25369994
1042,25214212,"Paleo",1970,25369994
1043,11167469,"Paleo",1985,11176216
1044,13526532,"Paleo",1968,13445120
1045,25357158,"Paleo",1970,25369994
1046,17809828,"Paleo",1971,17950884
1047,12295455,"Paleo",1989,12202676
1048,13715707,"Paleo",1957,13967606
1049,20066550,"Paleo",1980,20215842
1050,18146874,"Paleo",1971,17950884
1051,17119456,"Paleo",2000,17141866
1052,10745426,"Paleo",1987,10742718
1053,13200017,"Paleo",1950,13381186
1054,25633257,"Paleo",1970,25369994
1055,13765143,"Paleo",1957,13967606
1056,14329598,"Paleo",1979,14344644
1057,20911648,"Paleo",1967,21028348
1058,18266307,"Paleo",1978,18504374
1059,8001797,"Paleo",1977,6534936
1060,10128755,"Paleo",1991,10018752
1061,19478973,"Paleo",1973,18993664
1062,13747148,"Paleo",1957,13967606
1063,18507264,"Paleo",1978,18504374
1064,25840545,"Paleo",1970,25369994
1065,18237812,"Paleo",1978,18504374
1066,14625711,"Paleo",1962,14873244
1067,18640551,"Paleo",1978,18504374
1068,24504723,"Paleo",1996,24531126
1069,14479917,"Paleo",1979,14344644
1070,8622576,"Paleo",1976,9542824
1071,18407604,"Paleo",1978,18504374
1072,9660085,"Paleo",1992,9737704
1073,16332584,"Paleo",1954,16416000
1074,14602056,"Paleo",1979,14344644
1075,14395829,"Paleo",1979,14344644
1076,20102771,"Paleo",1980,20215842
1077,20966018,"Paleo",1967,21028348
1078,24527617,"Paleo",1996,24531126
1079,25936663,"Paleo",1970,25369994
1080,20229482,"Paleo",1980,20215842
1081,19490151,"Paleo",1973,18993664
1082,15059591,"Paleo",1962,14873244
1083,16489348,"Paleo",1954,16416000
1084,25257008,"Paleo",1970,25369994
1085,19218172,"Paleo",1973,18993664
1086,16205596,"Paleo",1954,16416000
1087,25150127,"Paleo",1970,25369994
1088,20089005,"Paleo",1980,20215842
1089,23557195,"Paleo",1952,23441594
1090,13134452,"Paleo",1950,13381186
1091,22351360,"Paleo",1965,22351326
1092,13085906,"Paleo",1950,13381186
1093,9578849,"Paleo",1976,9542824
1094,24691170,"Paleo",1996,24531126
1095,20327089,"Paleo",1999,20303814
1096,15230621,"Paleo",1962,14873244
1097,20727976,"Paleo",1967,21028348
1098,7786456,"Paleo",1977,6534936
1099,20027198,"Paleo",1980,20215842
1100,26714282,"Paleo",1956,26636912
1101,15847543,"Paleo",1975,15899986
1102,19853403,"Paleo",1980,20215842
1103,11899534,"Paleo",1960,11980470
1104,24154215,"Paleo",1969,23925034
1105,22994026,"Paleo",1986,22933750
1106,21464566,"Paleo",1951,21512456
1107,21673606,"Paleo",1951,21512456
1108,17488082,"Paleo",2000,17141866
1109,24273490,"Paleo",1996,24531126
1110,20625742,"Paleo",1999,20303814
1111,17950986,"Paleo",1971,17950884
1112,21472535,"Paleo",1951,21512456
1113,26378174,"Paleo",1956,26636912
1114,14203636,"Paleo",1979,14344644
1115,14647183,"Paleo",1962,14873244
1116,25530324,"Paleo",1970,25369994
1117,19158039,"Paleo",1973,18993664
1118,25393877,"Paleo",1970,25369994
1119,17715080,"Paleo",1971,17950884
1120,25256613,"Paleo",1970,25369994
1121,16761890,"Paleo",1954,16416000
1122,25168085,"Paleo",1970,25369994
1123,12162323,"Paleo",1989,12202676
1124,17924625,"Paleo",1971,17950884
1125,25610526,"Paleo",1970,25369994
1126,6732432,"Paleo",1977,6534936
1127,16223443,"Paleo",1954,16416000
1128,23819227,"Paleo",1969,23925034
1129,20929884,"Paleo",1967,21028348
1130,13021525,"Paleo",1959,12787854
1131,12464657,"Paleo",2002,12466122
1132,15471888,"Paleo",1975,15899986
1133,13957339,"Paleo",1957,13967606
1134,14496489,"Paleo",1979,14344644
1135,12023371,"Paleo",1981,12058890
